pointId	source	point	listId	capture	playerAction	needsTwoMachines	needsScreenshot	needsDataBlock	mergeRule
generator.placements-vs-count	%TEMP%\nativeinv\ni-generator.md#173 §6.3.1	PowerGeneratorPlacements 列表长度与实际生成台数的关系（候选位 vs 一台一条），决定目标侧用 Type 7 还是 Type 9	level-progression	trace:objects/LG_PowerGeneratorCluster.Setup;state:level.generators	正常推进到发电机目标并插满电池	no	yes	yes	
generator.puzzle2-unlock-events	%TEMP%\nativeinv\ni-generator.md#176 §6.3.2	PuzzleType=2 门在 OnSyncStatusChanged→Powered 后是否触发该区域 EventsOnUnlockDoor；Type 2 事件解锁后是否触发	level-progression	trace:objects/LevelGeneration.LG_PowerGenerator_Core.SyncStatusChanged;state:doors.status	插满电池后观察门状态与事件触发	no	no	no	与 door.lock-types 合并
generator.cluster-requires-type9	%TEMP%\nativeinv\ni-generator.md#177 §6.3.3	GeneratorClustersInZone 是否必须配 Type=9 目标；单独设 >0 会发生什么	level-progression	state:level.generatorClusters;trace:objects/LG_PowerGeneratorCluster.Setup	只设 GeneratorClustersInZone 不加 Type 9 目标进关	no	yes	yes	
generator.intel-fragments	%TEMP%\nativeinv\ni-generator.md#178 §6.3.4	WardenIntel 能否使用 [TARGET_ZONE] / [GENERATOR_NAME] 这类 ProgressionTextFragment 片段（两套片段系统是否合流）	level-progression	trace:level/WardenObjectiveManager.ReplaceFragmentsInString;trace:level/WardenObjectiveManager.DisplayWardenIntel;state:gui.tmpTexts	发一条带片段的 WardenIntel 事件	no	yes	yes	
generator.zone-fragment-render	%TEMP%\nativeinv\ni-generator.md#179 §6.3.5	[ZONE_n] 的实际渲染内容（区域别名写法、大小写、是否需要 ZoneAliasStart）、n 超界表现	level-progression	trace:level/WardenObjectiveManager.SetObjectiveTextFragmentGlobal;state:gui.tmpTexts	对多个区域发 [ZONE_n] 播报并读回最终文本	no	yes	yes	
generator.puzzle3-bypass	%TEMP%\nativeinv\ni-generator.md#180 §6.3.6	PuzzleType=3 的门能否被伤害/胶等非常规手段绕过（eDoorStatus.Destroyed / GluedMax 是否可达）	door-behaviour	trace:door-terminal/LevelGeneration.LG_SecurityDoor.AttemptDamage;trace:door-terminal/LevelGeneration.LG_SecurityDoor.AttemptGlueMaxEnabled;state:doors.status	对 Locked_No_Key 门打伤害、贴胶、敲击	no	yes	no	
generator.specific-pickup-priority	%TEMP%\nativeinv\ni-generator.md#181 §6.3.7	SpecificPickupSpawningDatas 能否稳定把电池投到指定区域、与 ZonePlacementData 的优先级	level-progression	state:level.pickups; trace:objects/LevelGeneration.LG_PickupItem.*	跑一关统计电池落区	no	yes	yes	
generator.customtext-literal-vs-id	%TEMP%\nativeinv\ni-generator.md#182 §6.3.8	ProgressionPuzzleData.CustomText 字面量与本地化 id 两种写法的实际显示差异	level-progression	state:gui.tmpTexts; trace:door-terminal/LevelGeneration.LG_SecurityDoor.SetupAsLockedNoKey	走近 PuzzleType=3 门读提示文本	no	yes	no	
hud.shield-bar-usable	%TEMP%\nativeinv\ni-hud.md#114 §6.A	原版护盾条是否真的出现；PlayerGuiLayer.UpdateShield（CallerCount 0）是否接线，m_shieldUIParent 是否被 prefab 关掉	hud-shield	trace:gui/PlayerGuiLayer.UpdateShield;trace:gui/PUI_LocalPlayerStatus.SetShieldbar;state:hud.shield	进关卡掉血再回盾	yes	yes	no	与 hud.shield-normalization 合并
hud.shield-normalization	%TEMP%\nativeinv\ni-hud.md#110 §6.A	UpdateShield 绝对值→条长映射、m_shieldValueRef 参考值、上限映射错误时满格/爆格	hud-shield	state:hud.shield.m_shieldValueRef; trace:gui/PUI_LocalPlayerStatus.SetShieldbar	连续改变护盾值并截图	yes	yes	no	与 hud.shield-bar-usable 合并
hud.shield-overlap	%TEMP%\nativeinv\ni-hud.md#114 §6.A	感染条 + 护盾条同时非零时的几何重叠、受伤动画协程与自写入互相覆盖	hud-shield	state:hud.shield;state:players.health	同时有感染与护盾时截图	yes	yes	no	
hud.shield-hidden-states	%TEMP%\nativeinv\ni-hud.md#114 §6.A	菜单/倒地/过场时护盾条是否正确隐藏、4 人各自数值不同时是否只有本人看到自己的	hud-shield	state:hud.shield.* + state:players.*.shield	分别处于 Tab/终端/倒地状态截图	yes	yes	no	
hud.custom-subtext-reflow	%TEMP%\nativeinv\ni-hud.md#138 §7	SetCustomSubText 是否走闪烁动画、频繁刷新是否触发目标面板重排（skipBlinking 只在相邻方法可见）	hud-text	trace:gui/PUI_GameObjectives.SetCustomSubText; state:gui.tmpTexts	高频刷新子目标文本	no	yes	no	
hud.teammate-extra-info-writer	%TEMP%\nativeinv\ni-hud.md#139 §7	队友头顶附加信息：m_refShield 由谁写入、附加串拼接格式、UpdateExtraInfo 的刷新节奏与 textBounds 定位，以及 TeammateOverhead 与 InfiniTweaks 资源行同时开启时是否抢同一行	hud-text	trace:gui/PlaceNavMarkerOnGO.UpdateExtraInfo	两人同局：队友掉血、改名、倒地、4 人同屏与边缘收缩时读 trace 并截图	yes	yes	no	
hud.playermarker-create-time	%TEMP%\nativeinv\ni-hud.md#141 §7	队友头顶标记的创建时机与发起端（只能证明它不在 SyncedNavMarkerWrapper 通道里）	hud-markers	trace:gui/NavMarkerLayer.PlacePlayerMarker;state:navMarkers	队友加入/重生时读标记来源	yes	no	no	
hud.player-info-change-args	%TEMP%\nativeinv\ni-hud.md#140 §7	GuiManager.OnPlayerInfoChange(int, string, Color) 三个参数的含义（只有一个订阅者，调用点不可见）	hud-text	trace:gui/GuiManager.UpdatePlayerInfo;state:players.slotIndex	队友改名/改色时读参数	yes	no	no	
hud.presentation-execution-slot	%TEMP%\nativeinv\ni-hud.md#142 §7	catalog 里 forge.action.presentation.* 六行 execution 仍是 host 而不是 presentation，是否属合同缺口	none	manual:需 Claude 判合同，非游戏可证	无	no	no	no	
mark.marker-placement-diff	%TEMP%\nativeinv\ni-markcolor.md#187	PlaceCustomMarker / PrepareMarker / PlaceSelectionMarker 挂在敌人身上的行为差异：是否跟随移动、是否随维度切换、是否被 OnLevelCleanup 清掉	markers	trace:gui/NavMarkerLayer.PlaceCustomMarker;trace:gui/NavMarkerLayer.PrepareMarker;trace:gui/NavMarkerLayer.PlaceSelectionMarker;trace:gui/NavMarkerLayer.OnLevelCleanup;state:navMarkers	在敌人身上放三种标记后换维度、清关	yes	yes	no	
mark.enemy-icon-render	%TEMP%\nativeinv\ni-markcolor.md#188	NavMarkerOption.Enemy / EnemyTitleDistance 在 PlaceCustomMarker 里能否渲染出与生物追踪器一致的敌人图标	markers	trace:gui/NavMarkerLayer.PlaceCustomMarker;trace:gui/NavMarker.SetOptions;state:navMarkers	放 Enemy 选项的标记并截图	no	yes	no	
mark.setcolor-scope	%TEMP%\nativeinv\ni-markcolor.md#189	NavMarker.SetColor 的生效范围：全部子部件还是只有当前 active 样式部件；是否连带改掉名字/距离文字	markers	trace:gui/NavMarker.SetColor;state:navMarkers	改色后读名字与距离文本	no	yes	no	
mark.setcolor-order	%TEMP%\nativeinv\ni-markcolor.md#190	SetColor 与 SetStyle/SetOptions/SetState 的调用顺序敏感性：先设色后改样式会不会被重置	markers	trace:gui/NavMarker.SetColor;trace:gui/NavMarker.SetStyle;trace:gui/NavMarker.SetOptions;trace:gui/NavMarker.SetState	按不同顺序设色与样式	no	yes	no	
mark.tagmarker-readable	%TEMP%\nativeinv\ni-markcolor.md#191	EnemyAgent.m_tagMarker（private，0x250）能否稳定读到，以及刚放下时的 null 窗口	markers	state:enemies.tagMarker;trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage	扫描并标记敌人后立即读 m_tagMarker	no	no	no	与 mark.rescan-replay 合并
mark.rescan-replay	%TEMP%\nativeinv\ni-markcolor.md#192	生物追踪器重复扫到同一敌人时 SyncPlaceNavMarkerTag() 是否重放、Forge 设的颜色是否被冲掉	markers	trace:weapon/Gear.EnemyScanner.UpdateTagProgress;state:navMarkers;state:enemies.tagMarker	连续两次扫描同一敌人	yes	yes	no	与 mark.tagmarker-readable 合并
mark.multiplayer-visibility	%TEMP%\nativeinv\ni-markcolor.md#193	一台机器改色是否只在本机可见（确认每机本地渲染），以及 Forge 新包下发后其余机器是否正确变色	markers	trace:gui/NavMarker.SetColor;net:SNetwork.SNet_Packet;net:SNetwork.SNet_ReplicationManager	主机与客机各改一次颜色互看	yes	yes	no	与 mark.local-render-per-machine 互为配对
mark.destroy-delay-zero	%TEMP%\nativeinv\ni-markcolor.md#194	PlaceCustomMarker 的 destroyDelay = 0 到底是永久还是立即销毁	markers	trace:gui/NavMarkerLayer.PlaceCustomMarker; state:navMarkers.*	传 0 放置标记后等待读存活时间	no	yes	no	
mark.two-markers-overlap	%TEMP%\nativeinv\ni-markcolor.md#195	两个 NavMarker 同时挂同一敌人时的叠加/遮挡表现	markers	state:navMarkers.*（按 trackedObject 分组）	对同一敌人放两个标记并截图	no	yes	no	
mark.selection-null-color	%TEMP%\nativeinv\ni-markcolor.md#196	NavMarkerLayer.PlaceSelectionMarker 的 Nullable<Color> 传 null 与传值的差异	markers	trace:gui/NavMarkerLayer.PlaceSelectionMarker; state:navMarkers.*.color	分别传 null 与颜色	no	yes	no	
mark.style-default-color	%TEMP%\nativeinv\ni-markcolor.md#207	各 eNavMarkerStyle 是否默认色不同（需读 NavMarker 预制体各部件材质）	markers	state:navMarkers.*.style/color 全集	遍历样式放标记	no	yes	no	
mark.enemytagged-timer	%TEMP%\nativeinv\ni-markcolor.md#208	EnemyTaggedTimer 的递减方与超时清标记路径	markers	state:enemies.*.m_tagMarker + navMarkers.* 存续时间	标记敌人后原地等待超时	no	no	no	
enemy.damage-source-path	ForgeEnemy\evidence\e10-damage-window.json $.conclusions.q2-client-shot-on-host.unverified	客户机开枪时由哪一侧提交命中（射击客机、主机还是双方）；SendPacket 的发送组与两条发送路径	enemy-damage	trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;trace:damage/Dam_EnemyDamageBase.ReceiveBulletDamage;net:SNetwork.SNet_Packet	客机开枪打敌人	yes	no	no	与 enemy.client-shot-host-replay、weapon.fire-replay-consistency 合并
